movieid,title,genre
1650,Washington Square,['Drama']
185,The Net,"['Sci-Fi', 'Thriller']"
1377,Batman Returns,"['Action', 'Adventure', 'Comedy', 'Crime']"
3204,The Boys from Brazil,['Thriller']
1901,Dear Jesse,['Documentary']
758,The Jar,['Drama']
1636,Stag,"['Action', 'Thriller']"
2382,Police Academy 5: Assignment: Miami Beach,['Comedy']
3126,The End of the Affair,['Drama']
2440,Another Day in Paradise,['Drama']
794,Midnight Dancers,"['Comedy', 'Drama']"
347,Bitter Moon,['Drama']
3421,Animal House,['Comedy']
2304,Love Is the Devil,['Drama']
1587,Conan the Barbarian,"['Action', 'Adventure']"
1438,Dante's Peak,"['Action', 'Thriller']"
1169,American Dream,['Documentary']
2714,The Wood,['Drama']
3522,Sacco and Vanzetti,['Drama']
3213,Batman: Mask of the Phantasm,"['Animation', ""Children's""]"
1059,William Shakespeare's Romeo and Juliet,"['Drama', 'Romance']"
2523,Rollercoaster,"['Drama', 'Thriller']"
3275,The Boondock Saints,"['Action', 'Comedy']"
2598,Pushing Tin,['Comedy']
2121,Cujo,"['Horror', 'Thriller']"
3225,Down to You,"['Comedy', 'Romance']"
3202,Even Dwarfs Started Small,['Drama']
2933,The Fire Within,['Drama']
1017,Swiss Family Robinson,"['Adventure', ""Children's""]"
1146,Curtis's Charm,"['Comedy', 'Drama']"
1648,The House of Yes,"['Comedy', 'Drama', 'Thriller']"
801,Harriet the Spy,"[""Children's"", 'Comedy']"
2101,Squanto: A Warrior's Tale,"['Adventure', 'Drama']"
1616,The Peacemaker,"['Action', 'Thriller', 'War']"
419,The Beverly Hillbillies,['Comedy']
2078,The Jungle Book,"['Animation', ""Children's"", 'Comedy', 'Musical']"
3531,All the Vermeers in New York,"['Comedy', 'Drama', 'Romance']"
3014,Bustin' Loose,['Comedy']
1240,The Terminator,"['Action', 'Sci-Fi', 'Thriller']"
1374,Star Trek: The Wrath of Khan,"['Action', 'Adventure', 'Sci-Fi']"
2940,Gilda,['Film-Noir']
1123,A Perfect Candidate,['Documentary']
1439,Meet Wally Sparks,['Comedy']
312,Stuart Saves His Family,['Comedy']
3163,Topsy-Turvy,['Drama']
3702,Mad Max,"['Action', 'Sci-Fi']"
2081,The Little Mermaid,"['Animation', ""Children's"", 'Comedy', 'Musical', 'Romance']"
3049,How I Won the War,"['Comedy', 'War']"
3850,Whatever Happened to Aunt Alice?,"['Crime', 'Thriller']"
1367,101 Dalmatians,"[""Children's"", 'Comedy']"
1284,The Big Sleep,"['Film-Noir', 'Mystery']"
1378,Young Guns,"['Action', 'Comedy', 'Western']"
1876,Deep Impact,"['Action', 'Drama', 'Sci-Fi', 'Thriller']"
2173,The Navigator: A Mediaeval Odyssey,"['Adventure', 'Fantasy', 'Sci-Fi']"
1906,Mr. Jealousy,"['Comedy', 'Romance']"
152,The Addiction,['Horror']
1795,El CallejÃ³n de los milagros,['Drama']
3610,Roustabout,['Musical']
2162,The NeverEnding Story II: The Next Chapter,"['Adventure', ""Children's"", 'Fantasy']"
2522,Airport '77,['Drama']
3190,Supernova,"['Adventure', 'Sci-Fi']"
1114,The Funeral,['Drama']
659,Purple Noon,"['Crime', 'Thriller']"
2260,Wisdom,"['Action', 'Crime']"
1056,Jude,['Drama']
2348,Sid and Nancy,['Drama']
1055,Shadow Conspiracy,['Thriller']
593,The Silence of the Lambs,"['Drama', 'Thriller']"
895,Venice/Venice,['Drama']
1416,Evita,"['Drama', 'Musical']"
3596,Screwed,['Comedy']
1976,Friday the 13th Part 3: 3D,['Horror']
2652,The Curse of Frankenstein,['Horror']
691,Mrs. Winterbourne,"['Comedy', 'Romance']"
2041,Condorman,"['Action', 'Adventure', ""Children's"", 'Comedy']"
3046,The Incredibly True Adventure of Two Girls in Love,"['Comedy', 'Romance']"
965,The 39 Steps,['Thriller']
3554,Love and Basketball,"['Drama', 'Romance']"
1830,Follow the Bitch,['Comedy']
918,Meet Me in St. Louis,['Musical']
2979,Body Shots,['Drama']
1076,The Innocents,['Thriller']
1205,The Transformers: The Movie,"['Action', 'Animation', ""Children's"", 'Sci-Fi', 'Thriller', 'War']"
3114,Toy Story 2,"['Animation', ""Children's"", 'Comedy']"
2178,Frenzy,['Thriller']
3075,Repulsion,['Thriller']
2564,The Empty Mirror,['Drama']
1710,Man of Her Dreams,['Drama']
3636,Those Who Love Me Can Take the Train,['Drama']
2160,Rosemary's Baby,"['Horror', 'Thriller']"
2956,Someone to Watch Over Me,"['Action', 'Crime', 'Thriller']"
